Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
"MARSH GROUP INC, (THE)",07/01/1994,CHATTANOOGA,TN,,DUNCAN,1084,AVE,37404,,1 - New Business,35.0392451990001,-85.28699273,"(35.0392451990001, -85.28699273)"
"AIRBOUNCE, LLC",08/01/2015,CHATTANOOGA,TN,,NORTHGATE MALL,271,DR,37415,,1 - New Business,35.130373402,-85.239254084,"(35.130373402, -85.239254084)"
STARBUCKS COFFEE #11818,02/23/2007,CHATTANOOGA,TN,,HAMILTON PLACE,2217,BLVD,37421,,1 - New Business,35.0403272400001,-85.155782722,"(35.0403272400001, -85.155782722)"
MICHAEL SMITH DESIGNS,11/30/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
MOTIVATED MOVERS,01/19/2015,CHATTANOOGA,TN,E,BRAINERD,7301,RD,37421,,1 - New Business,,,
STRAUSS COMPANY INC,03/16/1990,CHATTANOOGA,TN,,TREMONT,415,ST,37405-4150,,1 - New Business,35.0659248370001,-85.300242684,"(35.0659248370001, -85.300242684)"
KCI ENVIROMENTAL TECHNOLOGIES & CONSTRUCTION INC,07/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
ROGER BRIAN BAILEY,11/19/2010,CHATTANOOGA,TN,,FALMOUTH,1357,RD,37405,,1 - New Business,35.072774227,-85.2876822109999,"(35.072774227, -85.2876822109999)"
R & D LOGISTICS,07/01/2006,CHATTANOOGA,TN,,SHALLOWFORD,5959,RD,37421,,1 - New Business,35.0553324900001,-85.194309735,"(35.0553324900001, -85.194309735)"
PUMP IT UP OF CHATTANOOGA BOUNCE ETC OF CHATTANOOGA LLC,01/08/2007,CHATTANOOGA,TN,,COMMONS,7443,BLVD,37421,,1 - New Business,35.0344129330001,-85.1469569559999,"(35.0344129330001, -85.1469569559999)"
AVERY BRYAN FUNERAL HOME,10/01/2008,CHATTANOOGA,TN,,MCCALLIE,747,AVE,37402,,1 - New Business,35.0441734510001,-85.296132577,"(35.0441734510001, -85.296132577)"
SUPER SCENIC CITY ROOFING,03/15/2011,CHATTANOOGA,TN,,RIVER CANYON,20069,RD,37405,,1 - New Business,,,
THE CHATT INN,02/25/2011,CHATTANOOGA,TN,E,23RD,2000,ST,37404,,1 - New Business,,,
STR PROPERTY RESTORATION LLC,01/01/2013,CHATTANOOGA,TN,,NORTH CREEK,4317,RD,37406,,1 - New Business,,,
